classe,feature,importancia_media_abs_shap
enchente,latitude,0.12660382677485182
enchente,longitude,0.15161751749482952
enchente,bright_ti4,0.027239626204341665
enchente,bright_ti5,0.022983978851448043
enchente,frp,0.024755106288005226
enchente,scan,0.020345378182538322
enchente,track,0.023691069504030226
enchente,confidence_num,0.017266923535454178
enchente,daynight_num,0.0013348166404069694
enchente,ano,0.0307088390699821
enchente,mes,0.00789921147518242
enchente,dia,0.006441788561780865
enchente,dia_do_ano,0.011409294554740674
enchente,risco_fogo,0.01923701662326049
enchente,diferenca_brilho,0.01496975716815094
normal,latitude,0.12067496852120603
normal,longitude,0.1462225852279846
normal,bright_ti4,0.040841305832162375
normal,bright_ti5,0.03673196512985972
normal,frp,0.03823707324156241
normal,scan,0.03287139642138706
normal,track,0.04012917266905469
normal,confidence_num,0.027077262220540122
normal,daynight_num,0.0016086868798421373
normal,ano,0.031138075934413673
normal,mes,0.007886819157263596
normal,dia,0.010040657245412234
normal,dia_do_ano,0.011321615392632055
normal,risco_fogo,0.029335108712671427
normal,diferenca_brilho,0.01916804799860146
queimada,latitude,0.0059757117157768795
queimada,longitude,0.005607311116399257
queimada,bright_ti4,0.06808093203650407
queimada,bright_ti5,0.059715943981307806
queimada,frp,0.06299217952956744
queimada,scan,0.05321677460392534
queimada,track,0.06382024217308495
queimada,confidence_num,0.04434418575599439
queimada,daynight_num,0.0029435035202491
queimada,ano,0.0010141325348688765
queimada,mes,1.2788645968702965e-05
queimada,dia,0.006676033246566521
queimada,dia_do_ano,9.45540347167917e-05
queimada,risco_fogo,0.048572125335932075
queimada,diferenca_brilho,0.03413780516675236
